listingName,producerID,bottler,originCountry,drinkType,typeCategory,age,abv,reviewLink,officialDesc,sourceLink,photo
"Benriach 1997 24 Years Old, Blackadder Raw Cask",65c62d54876f110ab72a295e,"Malt, Grain & Cane",Scotland,Whiskey / Whisky,Single Malt,24,59.40%,https://88bamboo.co/blogs/whisky-reviews/benriach-24-years-old-1997-59-4-abv-bottled-by-malt-grain-cane,"BenRiach (Gaelic for speckled mountain 🏔️) is a Scottish distillery 🏴󠁧󠁢󠁳󠁣󠁴󠁿 located in Speyside, a region in Northern Scotland.",,
"Benrinnes, Highlander Inn Maggie's Collection (Taiwan Market)",65c62d54876f110ab72a2960,Highlander Inn,Scotland,Whiskey / Whisky,Single Malt,7,59.00%,https://88bamboo.co/blogs/whisky-reviews/benrinnes-7-years-old-59-abv-highlander-inn-maggies-collection-bottled-for-taiwan-market,,,
Brut Réserve Champagne N.V.,65c62d54876f110ab72a2963,OB,France,Wine (Grape wine),"Sparkling White (Incl Champagne) - Blend of Varietals, NOT natural wine",N.A.,12.50%,,,,
Brut Rosé Champagne N.V.,65c62d54876f110ab72a2963,OB,France,Wine (Grape wine),"Sparkling Rosé - Blend of Varietals, NOT natural wine",N.A.,13.00%,,,,
Founders' Estate Chardonnay 2016,65c62d54876f110ab72a2962,OB,United States,Wine (Grape wine),White Wine - Single Varietal,N.A.,14.00%,,,,
Bimber Peated Cask Batch No. 1 2020,65c62d54876f110ab72a2964,OB,England,Whiskey / Whisky,Single Malt,NAS,54.10%,,"The 1st Peated has been crated from a marriage of four heavily peated American oak ex-bourbon casks, drawn from our earlies fully peated distillation in May 2019. It is the culmination of years of investigation and passion and a true embodiment of our continued dedication to traditional production methods.",,
Bimber Re-Charred Oak Cask Batch No. 1 2019,65c62d54876f110ab72a2964,OB,England,Whiskey / Whisky,Single Malt,NAS,51.90%,,"The selection of American Oak casks were hand charred by Bimber’s on-site coopers to level #4 char – also known as ‘Alligator char’. The deep charring process caramelised the wood sugars, adds a layer of filtering carbon to the surface of the barrel and influences the whisky by imparting distinctively sweet, rich smooth and fruity flavours into the maturing spirit.",,
Black Gate Distillery Pot Still Rum Batch 1,65c62d54876f110ab72a2967,That Boutique-y Rum Company,Australia,Rum / Rhum,Molasses - Pure Single Rum (Pot Still),5,50.00%,,,,
5 Year Old Bual Madeira (Medium Rich) N.V.,65c62d54876f110ab72a2965,OB,Portugal,Wine (Grape wine),"Fortified Wine (Incl. Port, Sherry, Apera) - Single Varietal ",N.A.,19.00%,,,,
El Nido 2021,65c62d54876f110ab72a2966,OB,Spain,Wine (Grape wine),Red Wine - Blend of Varietals,N.A.,15.00%,,,,
Brass Lion Navy Strength Gin,65c62d54876f110ab72a296f,OB,Singapore,Gin,Contemporary,,57.00%,,"The Navy Strength Gin by Brass Lion stands in a league of its own with an ABV of 57%. Not for the faint of heart, this full bodied gin accentuated by citrusy notes certainly packs a punch – perfect for when you want to take things up a notch.",,
Brass Lion Singapore Dry Gin,65c62d54876f110ab72a296f,OB,Singapore,Gin,Contemporary,,40.00%,,"The multi award-winning Singapore Dry Gin is crafted with herbs and spices that were carefully selected to represent the cultural melting pot that is Singapore. Staying true to the traditional method of pot still distillation, we combine classic gin botanicals with Asian flavours such as the aromatic torch ginger flower and citrusy lemongrass to produce a smooth, vibrant spirit that is the quintessential expression of The Singapore Dry Gin. ",,
Brass Lion Pearl Jasmine Gin,65c62d54876f110ab72a296f,OB,Singapore,Gin,Contemporary,,40.00%,,"Brass Lion Pearl Jasmine Gin evokes bright mornings with the scent of jasmine in the air. Soft, silvery buds are carefully hand rolled and dried with fragrant jasmine blossoms. When steeped, each pearl unfurls into an aromatic tea with sweet, delicate flavours. Combined with the citrus and juniper notes of gin, these nostalgic flavours have been given a boozy, grown-up twist that makes Pearl Jasmine Gin intoxicating. A gin that is bright and elegant, with a smooth floral finish that lingers on both your mind and palate. We selected Dragon Phoenix Pearl Jasmine Tea as the main ingredient in this exclusive gin as an ode to teenage memories of sipping on bottled jasmine green tea. We’ve also included a dragon and phoenix in the label design as a symbol of harmony.",,
Brass Lion Butterfly Pea Gin,65c62d54876f110ab72a296f,OB,Singapore,Gin,Contemporary,,40.00%,,"A harmonious blend of our Singapore Dry Gin with lavender and butterfly pea flower. Lavender, known for its calming properties, adds a floral top note to the gin. The gin's deep, rich blue hue is derived from the Butterfly Pea flower – a staple in our Peranakan cuisine. With the addition of citrus, its colour changing properties are revealed as it morphs into a soft lilac shade. Naturally infused with no preservatives, do note that the colour will fade over time. Store in a cool and dark place when not consumed. ",,
Layer Cake,65c62d54876f110ab72a297c,OB,United Kingdom,Beer,Stout - Pastry,NA,7.00%,,,,
Punk IPA,65c62d54876f110ab72a297c,OB,United Kingdom,Beer,IPA - American Style (All),NA,5.20%,,,,
Elvis Juice,65c62d54876f110ab72a297c,OB,United Kingdom,Beer,IPA - Fruited,NA,6.50%,,,,
Dead Pony Club,65c62d54876f110ab72a297c,OB,United Kingdom,Beer,IPA - Session,NA,3.80%,,,,
Hazy Jane,65c62d54876f110ab72a297c,OB,United Kingdom,Beer,IPA - New England / Hazy / Juicy,NA,5.00%,,,,
Clockwork,65c62d54876f110ab72a297c,OB,United Kingdom,Beer,IPA - Fruited,NA,4.50%,,,,
Double Hazy,65c62d54876f110ab72a297c,OB,United Kingdom,Beer,IPA - New England / Hazy / Juicy,NA,7.20%,,,,
5AM Saint,65c62d54876f110ab72a297c,OB,United Kingdom,Beer,Red Ale - American Style / American Amber,NA,5.00%,,,,
Jack Hammer,65c62d54876f110ab72a297c,OB,United Kingdom,Beer,IPA - American Style (All),NA,7.20%,,,,
Lost Lager,65c62d54876f110ab72a297c,OB,United Kingdom,Beer,Pilsners - All Styles,NA,4.50%,,,,
Special Cuvée Brut Aÿ Champagne N.V.,65c62d54876f110ab72a296c,OB,France,Wine (Grape wine),"Sparkling White (Incl Champagne) - Blend of Varietals, NOT natural wine",N.A.,12.00%,,,,
Rosé Brut Champagne N.V.,65c62d54876f110ab72a296c,OB,France,Wine (Grape wine),"Sparkling White (Incl Champagne) - Blend of Varietals, NOT natural wine",N.A.,12.00%,,,,
Boksoondoga Original Makgeolli,65c62d54876f110ab72a296e,OB,South Korea,Makgeolli & Korean Rice Wines,"Artisanal (Craft, Traditional)",NAS,6.50%,https://88bamboo.co/blogs/everything-nice/boksoondoga-hand-brewed-makgeolli-original-vs-red-rice,,,
Boksoondoga Hand Brewed Sparkling Red RiceMakgeolli,65c62d54876f110ab72a296e,OB,South Korea,Makgeolli & Korean Rice Wines,"Artisanal (Craft, Traditional)",NAS,6.50%,https://88bamboo.co/blogs/everything-nice/boksoondoga-hand-brewed-makgeolli-original-vs-red-rice,,,
Soony Makgeolli,65c62d54876f110ab72a296b,OB,South Korea,Makgeolli & Korean Rice Wines,Modern (Grocery store makgeolli),NAS,6.00%,,"Made from a mixture of fermented rice, wheat and water, it is unfiltered (unlike soju and sake), so it contains lactic acid and some of the good bacteria found in yogurt. It also has fiber, vitamins, and only a 6 to 8 percent alcohol content.",,
Gold,65c62d54876f110ab72a296d,OB,Italy,Wine (Grape wine),"Sparkling White (Incl Champagne) - Single Varietal, NOT natural wine",N.A.,11.00%,,,,
Petalo Moscato Il Vino Dell'Amore N.V.,65c62d54876f110ab72a296d,OB,Italy,Wine (Grape wine),"Sparkling White (Incl Champagne) - Single Varietal, NOT natural wine",N.A.,6.50%,,,,
Bowmore Vault Edition First Release “Atlantic Sea Salt”,65c62d54876f110ab72a2970,OB,Scotland,Whiskey / Whisky,Single Malt,NAS,51.50%,https://88bamboo.co/blogs/whisky-reviews/bowmore-vault-edition-first-release-atlantic-sea-salt-51-5-ob-2016-limited-edition,"Created using the finest hand selected ex-bourbon casks to create a refined liquid of greater depth, Bowmore Vault Edition Atlantic Sea Salt reflects the distinctive microclimate in the depths of the No.1 Vaults. Bowmore Distillery’s close proximity to the sea is vital in determining the final character of the spirit, and the Atlantic sea spray that washes against the iconic sea-facing wall of Bowmore’s legendary No.1 Vaults is a key note in this release.",,
Bowmore 18 Years Old,65c62d54876f110ab72a2970,OB,Scotland,Whiskey / Whisky,Single Malt,18,43.00%,https://88bamboo.co/blogs/whisky-reviews/bowmore-18-years-old-43-abv,"Cosseted away in the finest, hand-selected oak casks and allowed to mature at its own sedate pace, this is one of the most remarkable, perfectly balanced single malt scotch whiskies of its kind. One of our rarest whiskies, bottles of Bowmore 18 Year Old may be limited, but there's no end to its enjoyment.",,
Bowmore Aston Martin Masters’ Selection Edition #3,65c62d54876f110ab72a2970,OB,Scotland,Whiskey / Whisky,Single Malt,22,51.00%,https://88bamboo.co/blogs/whisky-reviews/bowmore-aston-martin-masters-selection-edition-3-22-years-old-51-abv,"Bowmore Aston Martin Masters’ Selection 22 year old is a celebration of Bowmore’s Master Whisky Blender and Aston Martin’s Chief Creative Officer coming together, uniting two distinct worlds in a powerful, yet inspiring way. For these two masters the key is constancy. This is what ultimately unites them and drives them as the time-honoured guardians of maintaining a perpetual quest for the most immersive and joyful moments. Double matured in purposefully selected European Oak, Oloroso Sherry seasoned casks along with the optimal mix of American Oak hogsheads, this single malt pays homage to the definitive and constant character of Bowmore. Strength and depth unite, just as sweetness and intensity combine to create a powerfully rich and complex symphony of flavours.",,
Bowmore 25 Years Old,65c62d54876f110ab72a2970,OB,Scotland,Whiskey / Whisky,Single Malt,25,43.00%,https://88bamboo.co/blogs/whisky-reviews/bowmore-25-years-old-43-abv,"A whisky to be savoured slowly, every delicious drop of this exquisitely balanced malt has been matured for a quarter of a century in North American bourbon and Spanish sherry casks. Exceptional even by Bowmore's standards, our highly acclaimed Bowmore 25 Year Old exhibits the finest qualities of each.",,
Bowmore Timeless 29 Years Old,65c62d54876f110ab72a2970,OB,Scotland,Whiskey / Whisky,Single Malt,29,53.70%,https://88bamboo.co/blogs/whisky-reviews/bowmore-timeless-29-years-old-53-7-abv,"This 29-year-old single malt has been created from a combination of sherry seasoned European oak casks and ex- bourbon American oak barrels filled in 1991 and 1992, offering complexity and promising a mouth warming, yet dry and lengthy finish.",,
Bowmore 30 Years Old,65c62d54876f110ab72a2970,OB,Scotland,Whiskey / Whisky,Single Malt,30,45.30%,https://88bamboo.co/blogs/whisky-reviews/bowmore-30-years-old-45-3-abv,"Distilled in 1989, this rare single malt whisky has been carefully nurtured for three decades in our finest Sherry hogsheads and Bourbon barrels. Bottled at a cask strength of 45.3%, this 30-Year-Old is a celebration of Bowmore’s rich fruity and subtly smoky style. With only 2580 bottles available in 2020, Bowmore 30-Year-Old inspired by the terrain that surrounds the Bowmore Distillery and the legendary landscape that defines our whisky. Capturing the art of time, this whisky takes cues from the detailed markings on driftwood and the refined polish of sea glass, reflecting its eternal connection with Islay .",,
Bowmore 1969 50 Years Old,65c62d54876f110ab72a2970,OB,Scotland,Whiskey / Whisky,Single Malt,50,46.90%,https://88bamboo.co/blogs/whisky-reviews/bowmore-1969-50-years-old-46-9-abv,,,
"Chichibu x Katsumi Komagata 2015 8 Years Old, Chichibu Wine Cask bottled for La Maison du Whisky 2024 New Vibrations",65c62d54876f110ab72a2970,OB,Scotland,Whiskey / Whisky,Single Malt,8,62.80%,https://88bamboo.co/blogs/whisky-reviews/chichibu-whisky-x-katsumi-komagata-set-lmdw-2024-new-vibrations-sherry-cask-heavily-peated-wine-cask-bourbon-barrel,,,
"Chichibu x Katsumi Komagata 2016 6 Years Old, Sherry Cask bottled for La Maison du Whisky 2024 New Vibrations",65c62d54876f110ab72a2970,OB,Scotland,Whiskey / Whisky,Single Malt,6,63.10%,https://88bamboo.co/blogs/whisky-reviews/chichibu-whisky-x-katsumi-komagata-set-lmdw-2024-new-vibrations-sherry-cask-heavily-peated-wine-cask-bourbon-barrel,,,
"Chichibu x Katsumi Komagata 2015 7 Years Old, Heavily Peated bottled for La Maison du Whisky 2024 New Vibrations",65c62d54876f110ab72a2970,OB,Scotland,Whiskey / Whisky,Single Malt,7,63.30%,https://88bamboo.co/blogs/whisky-reviews/chichibu-whisky-x-katsumi-komagata-set-lmdw-2024-new-vibrations-sherry-cask-heavily-peated-wine-cask-bourbon-barrel,,,
"Chichibu x Katsumi Komagata 2014 9 Years Old, Bourbon Barrel bottled for La Maison du Whisky 2024 New Vibrations",65c62d54876f110ab72a2970,OB,Scotland,Whiskey / Whisky,Single Malt,9,61.90%,https://88bamboo.co/blogs/whisky-reviews/chichibu-whisky-x-katsumi-komagata-set-lmdw-2024-new-vibrations-sherry-cask-heavily-peated-wine-cask-bourbon-barrel,,,
I Gran Reserva 2009,65c62d54876f110ab72a2969,OB,Spain,Wine (Grape wine),Red Wine - Single Varietal,N.A.,13.50%,,,,
I Gran Reserva 2008,65c62d54876f110ab72a2969,OB,Spain,Wine (Grape wine),Red Wine - Blend of Varietals,N.A.,13.50%,,,,
I Gran Reserva 2001,65c62d54876f110ab72a2969,OB,Spain,Wine (Grape wine),Red Wine - Single Varietal,N.A.,13.50%,,,,
Brooklyn Pilsner Crisp Lager,65c62d54876f110ab72a297d,OB,United States,Beer,Pilsners - All Styles,NA,4.30%,https://88bamboo.co/blogs/craft-beer/brooklyn-pilsner-crisp-lager-4-3-abv,,,
Bunnahabhain Port Pipe Finish Cask Strength Limited Releaase ,65c62d54876f110ab72a2975,OB,Scotland,Whiskey / Whisky,Single Malt,11,55.30%,https://88bamboo.co/blogs/whisky-reviews/bunnahabhain-2007-vintage-11-year-old-port-pipe-finish-limited-release-55-3-abv-ob-1-of-1-650-bottles,,,
"Bunnahabhain 1989 28 Years Old, Blackadder Raw Cask Statement Edition",65c62d54876f110ab72a2975,Blackadder,Scotland,Whiskey / Whisky,Single Malt,28,48.10%,https://88bamboo.co/blogs/whisky-reviews/bunnahabhain-28-year-old-48-1-abv-blackadder-raw-cask-series,,,
Staoisha 2013 8 Years Old Heavily Peated,65c62d54876f110ab72a2975,"Malt, Grain & Cane",Scotland,Whiskey / Whisky,Single Malt,8,56.90%,https://88bamboo.co/blogs/whisky-reviews/staoisha-2013-8-years-old-bunnahabhain-single-malt-scotch-bottled-by-malt-grain-cane-56-9-abv,,,
Bunnahabhain 2010 13 Year Old The Single Cask Singapore 8th Anniversary Bottling,65c62d54876f110ab72a2975,The Single Cask,Scotland,Whiskey / Whisky,Single Malt,13,65.40%,https://88bamboo.co/blogs/whisky-reviews/bunnahabhain-2010-13-year-old-the-single-cask-singapore-8th-anniversary-bottling-65-4-abv,,,
"Staoisha 2013 ""Whopper Swans"" 9 Years Old, Jamaican Rum Cask Finish",65c62d54876f110ab72a2975,"Malt, Grain & Cane",Scotland,Whiskey / Whisky,Single Malt,9,56.90%,https://88bamboo.co/blogs/whisky-reviews/staoisha-2013-single-malt-scotch-malt-grain-cane-9-years-old-jamaican-rum-cask-finish-56-9-abv,,,
Bushmills Caribbean Rum Cask Finish,65c62d54876f110ab72a297b,OB,Ireland,Whiskey / Whisky,Irish Blended Whisk(e)y,NAS,40.00%,https://88bamboo.co/blogs/whisky-reviews/bushmills-caribbean-rum-cask-finish-40-0-ob,Bushmills Original Irish Whiskey containing single malt finished in fine oak Caribbean Rum casks and blended with smooth triple distilled Irish grain whiskey for tropical fruit and dry spice flavours.,,
Colheita Port 1960,65c62d54876f110ab72a297f,OB,Portugal,Wine (Grape wine),"Fortified Wine (Incl. Port, Sherry, Apera) - Blend of Varietal ",N.A.,20.00%,,,,
Tawny Porto N.V.,65c62d54876f110ab72a297f,OB,Portugal,Wine (Grape wine),"Fortified Wine (Incl. Port, Sherry, Apera) - Blend of Varietal ",N.A.,19.00%,,,,
20 Year Old Tawny Port N.V.,65c62d54876f110ab72a297f,OB,Portugal,Wine (Grape wine),"Fortified Wine (Incl. Port, Sherry, Apera) - Blend of Varietal ",N.A.,20.00%,,,,
Cuvée N.V.,65c62d54876f110ab72a2971,OB,United States,Wine (Grape wine),Red Wine - Single Varietal,N.A.,14.20%,,,,
Évora Reserva Tinto 2016,65c62d54876f110ab72a2979,OB,Portugal,Wine (Grape wine),Red Wine - Blend of Varietals,N.A.,14.50%,,,,
Foral de Évora Colheita Tinto 2018,65c62d54876f110ab72a2979,OB,Portugal,Wine (Grape wine),Red Wine - Blend of Varietals,N.A.,13.50%,,,,
Vinha dos Amores Touriga Nacional 2015,65c62d54876f110ab72a297a,OB,Portugal,Wine (Grape wine),Red Wine - Single Varietal,N.A.,12.50%,,,,
The Digestive Dram,65c62d54876f110ab72a297e,Cask 88 for Highlander Inn,Scotland,Whiskey / Whisky,Blended Malt,27,56.10%,https://88bamboo.co/blogs/whisky-reviews/the-digestive-dram-blended-malt-whisky-27-years-old-56-1-abv-bottled-by-cask-88-for-highlander-inn,,,
Chianti Rùfina Riserva 2015,65c62d54876f110ab72a2980,OB,Italy,Wine (Grape wine),Red Wine - Single Varietal,N.A.,13.00%,,,,
Cabernet Sauvignon 2019,65c62d54876f110ab72a2981,OB,United States,Wine (Grape wine),Red Wine - Single Varietal,N.A.,13.90%,,,,
Chambord,65c62d54876f110ab72a2982,OB,France,Liqueur,Berries,,17.00%,,"Chambord, France's Liqueur Royale, is a magnificent liqueur made with the world's finest black and red raspberries combined with delicious honey and Madagascan vanilla. Its rich but delicate taste makes it an essential part of any cocktail list.",,
Brut Champagne N.V.,65c62d54876f110ab72a2983,OB,France,Wine (Grape wine),"Sparkling White (Incl Champagne) - Blend of Varietals, NOT natural wine",N.A.,12.00%,,,,
Brut Réserve N.V.,65c62d54876f110ab72a2984,OB,France,Wine (Grape wine),"Sparkling White (Incl Champagne) - Blend of Varietals, NOT natural wine",N.A.,12.00%,,,,
Yellow Chartreuse,65c62d54876f110ab72a2986,OB,France,Liqueur,Herbal,,43.00%,,"Created in 1840, this yellow liqueur is inspired by the Elixir Végétal recipe. It was so popular that Father Garnier, attorney and responsible for liqueurs at the time, subsequently decided to officially name it Chartreuse Jaune and registered the “Chartreuse” mark in 1852. It was a liqueur with a 43 ° content, produced and still made today by the Chartreux Fathers.",,
Green Chartreuse,65c62d54876f110ab72a2986,OB,France,Liqueur,Herbal,,55.00%,,"Created in 1840, the ""Liqueur de Santé"" is the first liqueur made from the original recipe of the Elixir Végétal de la Grande Chartreuse. It was so popular that Father Garnier, attorney and responsible for the liqueurs at the time, later decided to officially name it 'Chartreuse Verte', and registered the “Chartreuse” mark in 1852. It is still produced and manufactured today by the Chartreux Fathers in their Aiguenoire distillery in Entre-Deux-Guiers (Isère - France).",,
Franciacorta Cuvée Prestige N.V.,65c62d54876f110ab72a2978,OB,Italy,Wine (Grape wine),"Sparkling White (Incl Champagne) - Single Varietal, NOT natural wine",N.A.,12.50%,,,,
Indian Wells Cabernet Sauvignon 2018,65c62d54876f110ab72a2988,OB,United States,Wine (Grape wine),Red Wine - Single Varietal,N.A.,14.50%,,,,
Chardonnay 2018,65c62d54876f110ab72a2988,OB,United States,Wine (Grape wine),White Wine - Single Varietal,N.A.,14.50%,,,,
"Mars Komagatake x Chichibu ""Malt Duo""",65c62d54876f110ab72a2989,OB,Japan,Whiskey / Whisky,Blended Malt,5,54.00%,https://88bamboo.co/blogs/whisky-reviews/mars-komagatake-x-chichibu-malt-duo-blended-malt-japanese-whisky-5-year-old-54-abv,,,
"Chichibu, The First Ten",65c62d54876f110ab72a298a,OB,Japan,Whiskey / Whisky,Single Malt,10,50.50%,https://88bamboo.co/blogs/whisky-reviews/chichibu-the-first-ten-10-year-old-50-5-abv,,,
"Chichibu 2008, Malt Dream Cask, Shuiku no Kai",65c62d54876f110ab72a298a,OB,Japan,Whiskey / Whisky,Single Malt,8,61.30%,https://88bamboo.co/blogs/whisky-reviews/chichibu-2008-malt-dream-cask-shuiku-no-kai-8-years-old-61-3-abv,,,
"Chichibu 2013 Antipodes Collection Single Cask Virign Oak, bottled for La Maison du Whisky",65c62d54876f110ab72a298a,OB,Japan,Whiskey / Whisky,Single Malt,8,61.00%,https://88bamboo.co/blogs/whisky-reviews/chichibu-lmdw-antipodes-collection-quartet-4-faces-of-aki-kuroda-virgin-oak-heavily-peated-wine-cask-ex-peated-cask,,,
"Chichibu 2015 Antipodes Collection Single Cask Heavily Peated, bottled for La Maison du Whisky",65c62d54876f110ab72a298a,OB,Japan,Whiskey / Whisky,Single Malt,6,63.90%,https://88bamboo.co/blogs/whisky-reviews/chichibu-lmdw-antipodes-collection-quartet-4-faces-of-aki-kuroda-virgin-oak-heavily-peated-wine-cask-ex-peated-cask,,,
"Chichibu 2013 Antipodes Collection Single Cask Chichibu Wine Cask, bottled for La Maison du Whisky",65c62d54876f110ab72a298a,OB,Japan,Whiskey / Whisky,Single Malt,8,61.00%,https://88bamboo.co/blogs/whisky-reviews/chichibu-lmdw-antipodes-collection-quartet-4-faces-of-aki-kuroda-virgin-oak-heavily-peated-wine-cask-ex-peated-cask,,,
"Chichibu 2014 Antipodes Collection Single Cask Ex-Peated Cask, bottled for La Maison du Whisky",65c62d54876f110ab72a298a,OB,Japan,Whiskey / Whisky,Single Malt,7,64.30%,https://88bamboo.co/blogs/whisky-reviews/chichibu-lmdw-antipodes-collection-quartet-4-faces-of-aki-kuroda-virgin-oak-heavily-peated-wine-cask-ex-peated-cask,,,
Chichibu Paris Edition 2022,65c62d54876f110ab72a298a,OB,Japan,Whiskey / Whisky,Single Malt,NAS,51.50%,https://88bamboo.co/blogs/whisky-reviews/chichibu-paris-edition-2022,,,
Chichibu Red Wine Cask 2023,65c62d54876f110ab72a298a,OB,Japan,Whiskey / Whisky,Single Malt,NAS,50.00%,https://88bamboo.co/blogs/whisky-reviews/chichibu-red-wine-cask-2023,,,
Chichibu Paris Edition 2023,65c62d54876f110ab72a298a,OB,Japan,Whiskey / Whisky,Single Malt,NAS,49.50%,https://88bamboo.co/blogs/whisky-reviews/chichibu-paris-edition-2023,,,
Dão Colheita Seleccionada White 2019,65c62d54876f110ab72a2973,OB,Portugal,Wine (Grape wine),White Wine - Blend of Varietal,N.A.,12.00%,,,,
Caol Ila 2008 13 Years Old,65c62d54876f110ab72a2977,"Malt, Grain & Cane / Signatory Vintage",Scotland,Whiskey / Whisky,Single Malt,13,55.40%,https://88bamboo.co/blogs/whisky-reviews/caol-ila-13-year-old-bottled-at-55-4-abv-by-malt-grain-cane-with-signatory-vintage,"CAOL ILA (pronounced as Cull Eela) is a Scottish distillery 🏴󠁧󠁢󠁳󠁣󠁴󠁿 located on the isle of Islay, near Port Askaig. Caol Ila is the Gaelic name for Sound of Islay, a waterbody that separates the isle of Islay and Jura.",,
Campari,65c62d54876f110ab72a2974,OB,Italy,Liqueur,Herbal,,25.00%,,"THE ICONIC, UNFORGETTABLE ITALIAN RED SPIRIT AT THE HEART OF SOME OF THE WORLD’S MOST FAMOUS COCKTAILS.",,
Pinot Noir Two Creeks Vineyards 2022,65c62d54876f110ab72a2972,OB,United States,Wine (Grape wine),Red Wine - Single Varietal,N.A.,14.30%,,,,
Reserve Ruby Port N.V.,65c62d54876f110ab72a298f,OB,Portugal,Wine (Grape wine),"Fortified Wine (Incl. Port, Sherry, Apera) - Blend of Varietal ",N.A.,19.50%,,,,
20 Years Old Tawny Port N.V.,65c62d54876f110ab72a298f,OB,Portugal,Wine (Grape wine),"Fortified Wine (Incl. Port, Sherry, Apera) - Blend of Varietal ",N.A.,19.50%,,,,
Camus Cognac VSOP Borderies Single Estate,65c62d54876f110ab72a2976,OB,France,Brandy,Cognac - Single Estate,VSOP,40.00%,,,,
Camus Cognac XO Borderies Single Estate,65c62d54876f110ab72a2976,OB,France,Brandy,Cognac - Single Estate,XO,40.00%,,,,
Camus Cognac Special Dry Borderies Single Estate,65c62d54876f110ab72a2976,OB,France,Brandy,Cognac - Single Estate,Not Stated,40.00%,,,,
Camus Cognac Very Special,65c62d54876f110ab72a2976,OB,France,Brandy,Cognac - Blend,VS,40.00%,,,,
Camus Cognac VSOP,65c62d54876f110ab72a2976,OB,France,Brandy,Cognac - Blend,VSOP,40.00%,,,,
Camus Cognac XO,65c62d54876f110ab72a2976,OB,France,Brandy,Cognac - Blend,XO,40.00%,,,,
Camus Cognac Dark & Stormy,65c62d54876f110ab72a2976,OB,France,Brandy,Cognac - Blend,VSOP,40.00%,,,,
Camus Cognac Ile De Re Fine Island,65c62d54876f110ab72a2976,OB,France,Brandy,Cognac - Blend,VS,40.00%,,,,
Clarendon 1995,65c62d54876f110ab72a2991,Aficionados Group,Jamaica,Rum / Rhum,Molasses - Pure Single Rum (Pot Still),26,68.30%,,,,
"Clynelish 1989 31 Years Old, Blackadder Statement Edition",65c62d54876f110ab72a2993,Blackadder,Scotland,Whiskey / Whisky,Single Malt,31,46.80%,https://88bamboo.co/blogs/whisky-reviews/1989-clynelish-31-years-old-single-malt-blackadder-statement-edition-46-8-abv,,,
Clynelish 1992,65c62d54876f110ab72a2993,The Whisky Society,Scotland,Whiskey / Whisky,Single Malt,15,58.50%,https://88bamboo.co/blogs/whisky-reviews/clynelish-1992-15-year-old-by-the-whisky-society-58-5-abv-ib-of-218-bottles,"A very unusual Clynelish with waves of nutty, oily flavours on the nose and an epic spicy palate. An intricate and unforgettable marriage of raw power with tremendous depth of flavour.",,
Special Reserve Port N.V.,65c62d54876f110ab72a2995,OB,Portugal,Wine (Grape wine),"Fortified Wine (Incl. Port, Sherry, Apera) - Blend of Varietal ",N.A.,20.00%,,,,
Fine Tawny Port N.V.,65c62d54876f110ab72a2995,OB,Portugal,Wine (Grape wine),"Fortified Wine (Incl. Port, Sherry, Apera) - Single Varietal ",N.A.,20.00%,,,,
Colombo No. 7,65c62d54876f110ab72a2994,OB,Sri Lanka,Gin,London Dry / Classic,,43.10%,,"Colombo is a London Dry Gin type Gin with an unusual list of ingredients. It consists of seven spices and herbs, each with a unique role. Together they create a complex aroma and a memorable distinctive taste.",,
Colombo No. 8,65c62d54876f110ab72a2994,OB,Sri Lanka,Gin,London Dry / Classic,,43.70%,,"Colombo No.8 is a meticulously crafted gin that follows tradition by incorporating 8 botanicals infused with ginseng. It commemorates the historical Silk Route with a London dry gin that resurrects the recipe of a distilled, juniper-forward gin with a hint of spiciness. This gin was originally created using distinct ingredients sourced from the enchanting cinnamon gardens of Colombo.",,
Compendium Pineapple Tart Soju,65c62d54876f110ab72a2996,OB,Singapore,Soju,Flavoured ,NAS,15.00%,-,Our Pineapple Tart Soju is fermented from gula melaka and distilled with pandan leaves & pineapple jam for a delightful & flavourful experience.,,
Compendium Ondeh Ondeh Soju,65c62d54876f110ab72a2996,OB,Singapore,Soju,Flavoured ,NAS,15.00%,-,Our Ondeh Ondeh (sweet glutinous rice balls with grated coconut) Soju is fermented from gula melaka and distilled with coconut & pandan leaves for a delightful & flavourful experience.,,
Compendium Bandung Soju,65c62d54876f110ab72a2996,OB,Singapore,Soju,Flavoured ,NAS,15.00%,-,Our Bandung (rose milk) Soju is fermented from gula melaka and distilled with coconut & rose petals for a delightful & flavourful experience.,,
Crianza Ribera del Duero 2016,65c62d54876f110ab72a2997,OB,Spain,Wine (Grape wine),Red Wine - Single Varietal,N.A.,14.50%,,,,
Cotswold Dry Gin,65c62d54876f110ab72a2998,OB,United Kingdom,Gin,London Dry / Classic,,46.00%,,"Our award-winning Cotswolds Dry Gin is a delectable blend of nine carefully-considered botanicals, including local lavender from the Cotswolds and freshly peeled pink grapefruit and lime zest. Due to the unusually high volume of botanicals we use, our gin causes a beautiful pearlescent cloud to appear when ice or tonic is added. A juniper-led gin with fresh citrusy notes and a hint of lavender.",,
Courvoisier VS,65c62d54876f110ab72a2999,OB,France,Brandy,Cognac - Blend,VS,40.00%,,,,
Courvoisier VSOP,65c62d54876f110ab72a2999,OB,France,Brandy,Cognac - Blend,VSOP,40.00%,,,,
Courvoisier XO,65c62d54876f110ab72a2999,OB,France,Brandy,Cognac - Blend,XO,40.00%,,,,
